iter	RMSE
763	276582.9565
764	276563.8659
765	276554.4339
766	276549.765
767	276545.8614
768	276533.2747
769	276522.6998
770	276515.2844
771	276507.6218
772	276502.323
773	276494.5951
774	276492.3388
775	276487.514
776	276484.3758
777	276477.7618
778	276463.7657
779	276460.5538
780	276458.2535
781	276452.3509
782	276447.6146
783	276439.9959
784	276432.3651
785	276420.064
786	276411.9963
787	276406.5796
788	276398.1646
789	276391.1307
790	276380.9921
791	276377.1838
792	276370.8985
793	276360.1558
794	276352.4733
795	276348.0941
796	276337.9701
797	276330.3992
798	276326.9206
799	276322.6246
800	276312.5076
801	276303.597
802	276295.2069
803	276291.6618
804	276289.9052
805	276279.7421
806	276268.3012
807	276250.6025
808	276242.944
809	276238.217
810	276233.8572
811	276229.3038
812	276212.938
813	276205.6359
814	276192.7606
815	276186.2707
816	276180.0822
817	276177.0256
818	276164.2028
819	276156.3298
820	276148.1747
821	276142.7452
822	276137.1926
823	276134.1215
824	276128.8225
825	276123.3375
826	276116.8656
827	276109.0729
828	276106.129
829	276100.1554
830	276098.7588
831	276091.6117
832	276089.7632
833	276083.5949
834	276079.5238
835	276071.522
836	276060.8464
837	276058.3733
838	276051.5753
839	276041.1901
840	276027.2972
841	276023.3083
842	276012.9583
843	276007.8123
844	276000.2141
845	275989.3765
846	275972.9178
847	275957.7622
848	275952.6831
849	275948.9603
850	275940.0063
851	275932.8781
852	275927.2711
853	275920.215
854	275913.3081
855	275903.0538
856	275900.5051
857	275895.3431
858	275889.4719
859	275875.0637
860	275869.9084
861	275866.4613
862	275860.2519
863	275855.4017
864	275849.2481
865	275847.8205
866	275844.6973
867	275838.4357
868	275833.705
869	275824.974
870	275820.9036
871	275813.9819
872	275809.4287
873	275805.2502
874	275800.2998
875	275789.2748
876	275783.1066
877	275768.2704
878	275764.0686
879	275753.8811
880	275750.04
881	275734.8041
882	275729.152
883	275724.9269
884	275706.0333
885	275701.7468
886	275690.4148
887	275682.0601
888	275675.1171
889	275669.6873
890	275659.5809
891	275648.7261
892	275640.6718
893	275634.0587
894	275628.0585
895	275623.7455
896	275604.0184
897	275592.4284
898	275585.5281
899	275579.8759
900	275577.9962
901	275564.5552
902	275561.2832
903	275555.6233
904	275554.242
905	275547.0509
906	275540.9849
907	275536.2513
908	275530.7325
909	275517.56
910	275507.1387
911	275500.9537
912	275495.11
913	275483.5101
914	275476.8311
915	275473.4053
916	275456.877
917	275449.4159
918	275445.1528
919	275434.0326
920	275425.4292
921	275422.2398
922	275420.9921
923	275417.7622
924	275414.4489
925	275410.5448
926	275393.039
927	275387.2591
928	275385.1178
929	275377.9913
930	275367.9361
931	275362.8052
932	275358.102
933	275349.2701
934	275343.3275
935	275338.2262
936	275332.0665
937	275329.2164
938	275323.3356
939	275319.523
940	275314.9866
941	275311.0354
942	275302.6343
943	275294.0928
944	275281.4428
945	275277.6339
946	275271.2876
947	275263.8432
948	275260.271
949	275255.086
950	275248.6591
951	275232.5457
952	275223.1798
953	275211.4114
954	275205.7588
955	275190.1206
956	275187.2716
957	275175.4794
958	275171.5373
959	275168.4801
960	275164.2151
961	275153.8908
962	275142.8977
963	275137.6861
964	275133.1052
965	275128.8529
966	275124.3421
967	275119.0376
968	275113.7161
969	275101.2403
970	275094.533
971	275089.1746
972	275079.0773
973	275074.7937
974	275065.0696
975	275061.274
