iter	Passed	Remaining
955	15450	711
956	15466	694
957	15485	678
958	15499	662
959	15515	646
960	15530	630
961	15545	614
962	15562	597
963	15580	581
964	15595	565
965	15612	549
966	15627	533
967	15642	517
968	15656	500
969	15671	484
970	15685	468
971	15699	452
972	15714	436
973	15731	419
974	15746	403
975	15760	387
976	15777	371
977	15792	355
978	15809	339
979	15823	322
980	15837	306
981	15851	290
982	15866	274
983	15882	258
984	15900	242
985	15915	225
986	15929	209
987	15945	193
988	15960	177
989	15976	161
990	15990	145
991	16005	129
992	16019	112
993	16035	96
994	16051	80
995	16067	64
996	16080	48
997	16095	32
998	16110	16
999	16123	0
