iter	Passed	Remaining
676	8259	3940
677	8278	3931
678	8294	3921
679	8310	3910
680	8328	3901
681	8344	3890
682	8359	3880
683	8375	3869
684	8391	3858
685	8405	3847
686	8421	3837
687	8438	3826
688	8454	3816
689	8471	3805
690	8486	3794
691	8500	3783
692	8515	3772
693	8530	3761
694	8546	3750
695	8562	3739
696	8577	3728
697	8593	3718
698	8609	3707
699	8624	3696
700	8639	3685
701	8655	3674
702	8671	3663
703	8687	3652
704	8702	3641
705	8719	3631
706	8735	3620
707	8751	3609
708	8767	3598
709	8783	3587
710	8800	3577
711	8816	3566
712	8832	3555
713	8847	3544
714	8862	3532
715	8878	3521
716	8894	3510
717	8910	3499
718	8925	3488
719	8940	3476
720	8956	3465
721	8973	3455
722	8990	3444
723	9006	3433
724	9021	3421
725	9036	3410
726	9052	3399
727	9067	3387
728	9082	3376
729	9099	3365
730	9115	3354
731	9132	3343
732	9148	3332
733	9164	3321
734	9181	3310
735	9196	3298
736	9212	3287
737	9227	3275
738	9244	3264
739	9259	3253
740	9275	3242
741	9291	3230
742	9308	3219
743	9324	3208
744	9339	3196
745	9355	3185
746	9370	3173
747	9386	3162
748	9402	3150
749	9418	3139
750	9436	3128
751	9452	3117
752	9470	3106
753	9487	3095
754	9504	3084
755	9521	3072
756	9538	3062
757	9555	3050
758	9572	3039
759	9589	3028
760	9606	3017
761	9624	3006
762	9641	2994
763	9657	2983
764	9674	2971
765	9688	2959
766	9706	2948
767	9724	2937
768	9741	2926
769	9759	2915
770	9777	2904
771	9795	2893
772	9812	2881
773	9830	2870
774	9846	2858
775	9863	2847
776	9881	2835
777	9897	2824
778	9913	2812
779	9930	2800
780	9946	2788
781	9961	2777
782	9979	2765
783	9994	2753
784	10011	2742
785	10026	2729
786	10041	2717
787	10057	2705
788	10073	2693
789	10090	2682
790	10106	2670
791	10123	2658
792	10139	2646
793	10155	2634
794	10172	2622
795	10188	2611
796	10204	2599
797	10220	2587
798	10235	2574
799	10250	2562
800	10266	2550
801	10281	2538
802	10297	2526
803	10313	2514
804	10329	2502
805	10345	2490
806	10361	2478
807	10377	2466
808	10393	2453
809	10408	2441
810	10423	2429
811	10438	2416
812	10454	2404
813	10470	2392
814	10486	2380
815	10502	2368
816	10518	2356
817	10536	2344
818	10553	2332
819	10569	2320
820	10585	2308
821	10601	2295
822	10617	2283
823	10633	2271
824	10649	2258
825	10664	2246
826	10680	2234
827	10695	2221
828	10710	2209
829	10728	2197
830	10745	2185
831	10762	2173
832	10779	2160
833	10795	2148
834	10814	2136
835	10835	2125
836	10856	2114
837	10873	2102
838	10891	2090
839	10910	2078
840	10927	2065
841	10945	2053
842	10965	2042
843	10984	2030
844	11001	2018
845	11018	2005
846	11034	1993
847	11050	1980
848	11066	1968
849	11083	1955
850	11099	1943
851	11116	1931
852	11133	1918
853	11148	1906
854	11167	1893
855	11184	1881
856	11201	1869
857	11217	1856
858	11233	1843
859	11248	1831
860	11262	1818
861	11277	1805
862	11292	1792
863	11307	1779
864	11322	1767
865	11337	1754
866	11353	1741
867	11370	1729
868	11386	1716
869	11402	1703
870	11418	1691
871	11434	1678
872	11449	1665
873	11465	1652
874	11480	1640
875	11496	1627
876	11511	1614
877	11526	1601
878	11541	1588
879	11556	1575
880	11571	1563
881	11588	1550
882	11604	1537
883	11620	1524
884	11637	1512
885	11655	1499
886	11672	1486
887	11689	1474
888	11707	1461
889	11724	1449
890	11741	1436
891	11756	1423
892	11773	1410
893	11790	1397
894	11805	1385
895	11820	1372
896	11836	1359
897	11852	1346
898	11867	1333
899	11882	1320
900	11897	1307
901	11912	1294
902	11929	1281
903	11940	1268
904	11957	1255
905	11972	1242
906	11987	1229
907	12003	1216
908	12017	1203
909	12032	1190
910	12047	1176
911	12062	1163
912	12078	1150
913	12094	1138
914	12109	1124
915	12124	1111
916	12138	1098
917	12153	1085
918	12172	1072
919	12189	1059
920	12206	1047
921	12224	1034
922	12241	1021
923	12257	1008
924	12274	995
925	12290	982
926	12307	969
927	12323	956
928	12340	943
929	12356	930
930	12373	917
931	12390	904
932	12408	891
933	12424	877
934	12440	864
935	12460	852
936	12480	839
937	12499	826
938	12517	813
939	12537	800
940	12556	787
941	12575	774
942	12592	761
943	12609	748
944	12625	734
945	12642	721
946	12660	708
947	12675	695
948	12691	682
949	12708	668
950	12724	655
951	12740	642
952	12755	629
953	12771	615
954	12786	602
955	12802	589
956	12817	575
957	12833	562
958	12848	549
959	12862	535
960	12876	522
961	12890	509
962	12905	495
963	12921	482
964	12936	469
965	12952	455
966	12967	442
967	12982	429
968	12996	415
969	13011	402
970	13026	389
971	13041	375
972	13056	362
973	13074	348
974	13090	335
975	13107	322
976	13122	308
977	13136	295
978	13161	282
979	13176	268
980	13191	255
981	13206	242
982	13221	228
983	13237	215
984	13253	201
985	13268	188
986	13284	174
987	13300	161
988	13315	148
989	13330	134
990	13346	121
991	13363	107
992	13379	94
993	13394	80
994	13410	67
995	13425	53
996	13441	40
997	13457	26
998	13474	13
999	13490	0
